video_id,video_title,video_date
31glAeRYkD4,Secretlab Titan Review - An Honest Opinion...,2019-11-28 18:15:00+00:00
cLBGKqcqJmg,Secretlab Titan Review - 9 Months Later...,2020-05-07 19:07:41+00:00
1YS-mFoTK5c,Secretlab Titan 2020 Review: Worth $400?,2020-07-03 19:42:28+00:00
gGQtbDKmd3M,The Remastered SecretLab OMEGA Gaming Chair - Comprehensive Review,2018-10-29 19:11:33+00:00
6eyQGn5Df4k,"Secretlab Titan Review Update: 8 Months Later, Is it Still Worth It?",2018-10-30 23:07:41+00:00
tO6GL4TV9ZM,Everything you need to know! The 2020 SecretLab Titan Chair Full Review,2020-08-03 09:25:44+00:00
1ABIJZdhv3s,Secretlab OMEGA Softweave &amp; PU leather 2.0 - ONE Year Later REVIEW!,2020-05-13 18:30:00+00:00
KuDumLawukw,Secretlab Titan vs Omega 2020 Series Size Difference - Find the BEST FIT for YOU!,2019-08-30 19:00:02+00:00
nBnCOKf2V7g,"SecretLab TITAN Gaming Chair: 2 YEARS LATER, is it worth the PRICE?",2020-05-21 17:00:14+00:00
Gtc4ygj2l_A,"SecretLab Omega Gaming Chair - £300, but does BRIONY rate it ?",2019-01-29 16:30:08+00:00
DiEbEXnW2qY,2020 Secretlab Review: What&#39;s New &amp; Is It Worth Buying,2019-05-22 15:06:20+00:00
v8sgvci6gR0,SecretLab Titan 2020 Gaming Chair Review,2019-07-28 19:00:04+00:00
fhAPsgb6MNk,Secretlab OMEGA 2020 Series REVIEW Softweave VS 2.0 PU Leather Comparison,2019-06-24 18:30:00+00:00
0xmKMHNCRlw,Secretlab Titan Series 14 Months Later... BEST Gaming Chair or RIP-OFF?!,2020-05-12 14:48:23+00:00
DBI_1GafwXw,BEST Gaming Chair?! Secretlabs LONG TERM Honest Review! [Titan SoftWeave],2020-02-20 16:04:44+00:00
jVym-RUtTMk,Secretlab Leather | The Truth | 2 Year Review,2020-07-04 06:22:02+00:00
BqIse8WLS74,Secretlab vs DXRacer - which is best?,2017-11-26 10:00:00+00:00
WjWAGOEjXtQ,Secretlab Titan 2020 Series unboxing and review,2020-07-19 16:53:52+00:00
FJ20JBOMOws,"2020 Secretlab Titan Softweave Unboxing/Review (Bad Build Quality, Questionable Customer Service)",2019-12-06 23:34:47+00:00
Otfl8rzba8I,"Secretlab Omega Stealth 2020 Series Gaming Chair || FULL Unboxing, Assembly, and Review",2020-02-27 19:30:00+00:00
dUW-vNhVtr8,Are Gaming Chairs Worth It? — SecretLab Titan 2020 Unboxing,2019-07-11 14:43:58+00:00
lRL691QA_vI,"Secret Lab Titan Chair, 1 Year Later Review",2018-06-25 21:11:07+00:00
TlSYI81djuI,Secretlab Omega 2020 Review: Worth the hype?,2019-12-21 01:40:23+00:00
uxTdg7KJtDs,Secretlab TITAN Gaming Chair 2020 Review *honest*,2020-07-05 21:09:47+00:00
sTmapy3tAU4,Secretlab Omega NAPA Leather Best Gaming Chair in 2019?- In Depth Review,2019-04-19 19:30:01+00:00
lxnrHv7rIMI,Secretlab TITAN 2020 review after 3 months - Shot on Sony A7iii,2019-12-23 19:13:01+00:00
