date,wnvpresent,tmax,tmin,tavg,dewpoint,wetbulb,cool,preciptotal,daylighthours,species_CULEX ERRATICUS,species_CULEX PIPIENS,species_CULEX PIPIENS/RESTUANS,species_CULEX RESTUANS,species_CULEX SALINARIUS,species_CULEX TARSALIS,species_CULEX TERRITANS,codesum_BR,codesum_DZ,codesum_FG,codesum_HZ,codesum_RA,codesum_TS,codesum_TSRA,codesum_VCTS
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,60,74,58,65,9,0.0,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-05-29,0,88,65,77,59,66,12,0.0,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2007-06-05,0,64,47,56,48,51,0,0.42,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
